Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100p,C_0402_1005Metric,85.08,-92.6,180,top
C102,.1u,C_0402_1005Metric,92.72,-51.8,0,top
C103,.1u,C_0402_1005Metric,86.82,-58.3,0,top
C104,.1u,C_0402_1005Metric,90.52,-95.6,0,top
C105,.1u,C_0402_1005Metric,84.72,-102.4,0,top
C106,.1u,C_0402_1005Metric,93.02,-122.9,0,top
C107,.1u,C_0402_1005Metric,87.22,-129.9,0,top
C108,.1u,C_0402_1005Metric,78.48,-51.7,0,top
C109,.1u,C_0402_1005Metric,72.62,-58.3,0,top
C110,.1u,C_0402_1005Metric,90.9,-109.7,0,top
C112,10n,C_0402_1005Metric,75.72,-59.8,0,top
C201,10u,C_0402_1005Metric,98.62,-136.8,0,top
C202,10u,C_0402_1005Metric,98.68,-142.6,180,top
C203,.1u,C_0402_1005Metric,103.22,-78.3,0,top
C204,.1u,C_0402_1005Metric,97.32,-85.2,0,top
C205,.1u,C_0402_1005Metric,82.02,-78,0,top
C206,.1u,C_0402_1005Metric,76.12,-84.8,0,top
D101,1N4148,D_SOD-323F,83.9,-127,0,top
D102,1N4148,D_SOD-323F,89.9,-60.1,0,top
D103,1N4148,D_SOD-323F,89.9,-62.2,0,top
D104,1N4148,D_SOD-323F,92.5,-92.1,180,top
D108,B5819W,D_SOD-123,95.15,-96.8,0,top
D109,1N4148,D_SOD-323F,87.2,-105,0,top
D110,1N4148,D_SOD-323F,93.9,-109.7,0,top
D201,B5819W,D_SOD-123,99.75,-134.7,0,top
D202,B5819W,D_SOD-123,99.85,-144.9,180,top
Q101,MMBT5401,SOT-23,102.1,-58.5,270,top
Q102,MMBT5551,SOT-23,102.1,-62,90,top
Q103,MMBT5401,SOT-23,105.8,-58.5,270,top
Q104,MMBT5551,SOT-23,105.8,-62,90,top
R101,10k,R_0402_1005Metric,85,-129.29,270,top
R102,1M,R_0402_1005Metric,84.71,-56.9,0,top
R103,100k,R_0402_1005Metric,81.8,-100.31,270,top
R104,100k,R_0402_1005Metric,80.6,-100.31,270,top
R105,10k,R_0402_1005Metric,84.69,-55.6,0,top
R106,1M,R_0402_1005Metric,83.1,-100.31,270,top
R107,1k,R_0402_1005Metric,95.09,-127,0,top
R108,2.2M,R_0402_1005Metric,83,-97.69,270,top
R109,10k,R_0402_1005Metric,89.81,-58.5,180,top
R110,100k,R_0402_1005Metric,87.39,-92.8,0,top
R111,1k,R_0402_1005Metric,94.81,-54.4,180,top
R112,10k,R_0402_1005Metric,95.89,-93.1,0,top
R113,10k,R_0402_1005Metric,93.79,-98.6,0,top
R114,10k,R_0402_1005Metric,108.39,-54.3,0,top
R115,100k,R_0402_1005Metric,93.3,-100.29,270,top
R116,1M,R_0402_1005Metric,93.19,-115.3,180,top
R117,1k,R_0402_1005Metric,93.21,-116.8,0,top
R118,100k,R_0402_1005Metric,92.99,-113.6,0,top
R119,100k,R_0402_1005Metric,82.99,-112.4,180,top
R120,1k,R_0402_1005Metric,75.79,-58.6,180,top
R121,100k,R_0402_1005Metric,82.89,-111,0,top
R122,100k,R_0402_1005Metric,82.99,-113.7,180,top
R123,1k,R_0402_1005Metric,85.49,-117.9,0,top
R124,1k,R_0402_1005Metric,92.99,-112.4,180,top
R201,100k,R_0402_1005Metric,88.7,-73.11,90,top
R202,100k,R_0402_1005Metric,78.7,-73.09,90,top
R203,100k,R_0402_1005Metric,95.5,-80.39,270,top
R204,100k,R_0402_1005Metric,74.6,-80.01,270,top
R205,47k,R_0402_1005Metric,93.59,-79.9,0,top
R206,47k,R_0402_1005Metric,75.11,-78.1,180,top
R207,1k,R_0402_1005Metric,100.81,-67.6,180,top
R208,1k,R_0402_1005Metric,93.59,-81.1,0,top
R209,1k,R_0402_1005Metric,75.11,-77,180,top
R210,100k,R_0402_1005Metric,104.8,-83.99,270,top
R211,100k,R_0402_1005Metric,85.1,-77.41,90,top
R212,100k,R_0402_1005Metric,104.8,-81.69,270,top
R213,100k,R_0402_1005Metric,83.6,-81.39,270,top
R214,22k,R_0402_1005Metric,96.3,-73.31,90,top
R215,47k,R_0402_1005Metric,104.8,-79.59,270,top
R216,22k,R_0402_1005Metric,86.2,-73.01,90,top
R217,47k,R_0402_1005Metric,86.3,-77.39,270,top
R218,1k,R_0402_1005Metric,106.49,-79.1,180,top
R219,1k,R_0402_1005Metric,85.79,-75.8,0,top
R301,1k,R_0402_1005Metric,52.4,-135.2,90,top
R302,1k,R_0402_1005Metric,48.6,-135.21,90,top
U101,TL072,SOIC-8_3.9x4.9mm_P1.27mm,89.725,-55.005,0,top
U102,TL072,SOIC-8_3.9x4.9mm_P1.27mm,87.625,-99.035,0,top
U103,TL072,SOIC-8_3.9x4.9mm_P1.27mm,90.1,-126.4,0,top
U104,TL072,SOIC-8_3.9x4.9mm_P1.27mm,75.525,-55.005,0,top
U105,LM393,SOIC-8_3.9x4.9mm_P1.27mm,87.925,-113.005,0,top
U201,TL072,SOIC-8_3.9x4.9mm_P1.27mm,100.3,-81.7,0,top
U202,TL072,SOIC-8_3.9x4.9mm_P1.27mm,79.1,-81.4,0,top