Comment,Designator,Footprint,LCSC
"100p","C101","Capacitor_SMD:C_0402_1005Metric","C1546"
"100n","C102,C103,C104,C105,C106,C107,C108,C109,C110,C203,C204,C205,C206","Capacitor_SMD:C_0402_1005Metric","C1525"
"10n","C112","Capacitor_SMD:C_0402_1005Metric","C15195"
"10u","C201,C202","Capacitor_SMD:C_0402_1005Metric","C15525"
"1N4148","D101,D102,D103,D104,D109,D110","Diode_SMD:D_SOD-323F","C2128"
"7.5V","D105,D106,D107,D203","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"B5819W","D108,D201,D202","Diode_SMD:D_SOD-123","C8598"
"LED","D301,D302,D303,D304","LED_THT:LED_D5.0mm",""
"Conn_02x05_Odd_Even","J201","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"Conn_01x09","J202","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical",""
"Conn_01x10","J203","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x09","J301","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical",""
"Conn_01x10","J302","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"AudioJack2","J303,J304,J305,J306,J307,J308,J309,J310","A-2563:A-2563",""
"MMBT5401","Q101,Q103","Package_TO_SOT_SMD:SOT-23","C8326"
"MMBT5551","Q102,Q104","Package_TO_SOT_SMD:SOT-23","C2145"
"1M","R102,R106,R116","Resistor_SMD:R_0402_1005Metric","C26083"
"100k","R103,R104,R110,R115,R118,R119,R121,R122,R201,R202,R203,R204,R210,R211,R212,R213","Resistor_SMD:R_0402_1005Metric","C25741"
"10k","R101,R105,R109,R112,R113,R114","Resistor_SMD:R_0402_1005Metric","C25744"
"2.2M","R108","Resistor_SMD:R_0402_1005Metric","C11490"
"1k","R107,R111,R117,R120,R123,R124,R207,R208,R209,R218,R219,R301,R302","Resistor_SMD:R_0402_1005Metric","C11702"
"47k","R205,R206,R215,R217","Resistor_SMD:R_0402_1005Metric","C25792"
"22k","R214,R216","Resistor_SMD:R_0402_1005Metric","C25768"
"10k","RV301,RV304,RV305","A-5513:A-5513",""
"100k","RV302,RV303,RV306,RV307","A-5513:A-5513",""
"TL072","U101,U102,U103,U104,U201,U202","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C6961"
"LM393","U105","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7955"